GENEID	R1_H1975	R2_H1975	R3_H1975	R1_HCC827	R2_HCC827	R3_HCC827
ENSG00000028310	1268.00001	939.00001	1000	1382	1385.00001	717.00001
ENSG00000028528	1020.99999	915	897	647.99999	609.99998	601
ENSG00000028839	734	746.00001	672.00001	514	234	377
ENSG00000029153	275.00001	242.00001	225.99999	326.00001	279	199.99999
ENSG00000029363	846	750	741	438.99999	540	352.00001
ENSG00000029364	911.99999	763.99999	783	304.99999	186	195
ENSG00000029534	48	32	39	0	2	0
ENSG00000029559	0	0	0	75	43	48
ENSG00000029639	667	660.00001	687	1250.00001	760	1126
ENSG00000029725	1812.00001	1668.00001	1577.00001	929.00001	471.99999	512
ENSG00000029993	4613.00001	3453.00001	3107.00001	5207.99999	3792.99999	4727
ENSG00000030066	424	525.99998	467.00001	370.99998	286.00001	256.99998
ENSG00000030110	637.00001	641	590	615	478	711
ENSG00000030304	0	1	1	0	0	0
ENSG00000030419	50	39	48.99999	37	56	15.99999
ENSG00000030582	19017.00001	16363.00001	16569	8867	6741	9432
ENSG00000031003	157	135	161	52	42.00001	47
ENSG00000031081	127	87	86	6	0	3
ENSG00000031691	175	123	125.99999	131	101	94
ENSG00000031698	4871	4574.99999	4372	11241.00002	9824.00001	11179.00001
ENSG00000031823	412.99998	403.00001	327.99999	252	339.99999	274.00001
ENSG00000032219	533.99999	436.00001	473.00001	224	169	142.99999
ENSG00000032389	1137.99999	1184	1187.00001	1078.99999	722.00001	1052.00001
ENSG00000032444	726	615	726.99999	614.99999	1216	693.99999
ENSG00000032742	293.99999	255	304.99999	112.00001	93	82.99999
ENSG00000033011	634	747	627	562.00002	715	664.00001
