"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"12774","PSMA3-AS1-204",12.7990064201039,-1.94604028164616,0.716056321205517,0.00136034234192821,0.00429365840805361
"12775","DMAC2L-207",259.623059300233,1.01227754780288,0.204267418988135,4.13597343956643e-07,2.76893839179823e-06
"12776","TUBB3-206",71.913388641655,-0.394072653396923,0.284636525185839,0.148597751672737,0.237050598440034
"12777","HNRNPC-210",220.114941399209,0.162704988351612,0.438355665757487,0.681867640217497,0.772955906607472
"12778","PSMA3-206",8.01814932360694,-1.46694057322908,0.920271331907595,0.0274434961665714,0.0583333718225316
"12779","CFL2-204",114.703299122416,0.209173985969699,0.226795026817323,0.345613236997523,0.464454082412538
"12780","NPC2-205",97.9933916898663,-0.661485995595193,0.263690676032029,0.00932626389340048,0.0231082489078126
"12781","YY1-DT-201",10.9030088893379,-0.111534453912859,0.578384452397079,0.814004986251559,0.874260800323285
"12782","NUMB-212",8.88474166497173,-1.22490107287182,0.831224737361865,0.0468750204977811,0.0918148525345326
"12783","PAPLN-AS1-201",32.7572805313927,-8.97256136245402,2.84037763316678,5.67069838241528e-11,7.23587575930529e-10
"12784","VTI1B-204",1377.59265603165,-0.62102659501809,0.205415015302254,0.00195100977213922,0.00589541395726428
"12785","TTC8-206",8.59843109909262,-1.69376234666371,0.82931335134389,0.00950716611953236,0.0234759596516493
"12786","SDR39U1-208",11.8287031199621,-0.551996206371066,0.543708377040199,0.232170311456158,0.33942971354414
"12787","LGALS3-204",20.9511043867645,-8.18501850601991,2.75883760697701,2.95771133168971e-09,2.89488582001134e-08
"12788","RDH11-207",12.108368538778,-1.8788677039876,0.739739172214779,0.00214383056001979,0.00641045356032765
"12789","ENST00000554749",78.1711888133348,1.17386515186536,0.413122297107102,0.00194143018383673,0.00587280663742263
"12790","ENST00000554859",41.9715588562488,-0.347498193565597,0.351403799623648,0.292057221903582,0.407827488140476
"12791","SERPINA5-207",45.4157353959602,-1.57720698216186,0.430238050747303,7.74473449168229e-05,0.000331426684897254
