R1_H1975 R2_H1975 R3_H1975 R1_HCC827 R2_HCC827 R3_HCC827
PLAT-201 136 145 115 12 3 17
GDAP1-201 49 51 55 15 3 10
EIF3E-201 2119.39736 1799.5907 1038.26495 225.21279 28.11593 256.5813
EMC2-201 526 587 520 251 124 339
TRPS1-201 0 1 2 1 0 0
CHRAC1-201 215.99999 278.99999 213 193 171 159
MTMR9-201 20 15 15 11 1 8
DCTN6-201 741.69146 705.84549 549.88259 413.03536 265 460
GSR-201 23 36 22 29 20 54
TNFRSF10A-201 35 43 28 26 19 28
PPP2CB-201 244 331 302 216 127 220
KCTD9-201 32.5 31 28.5 12 6 15
EXOSC5-201 1400.83054 0 1614.13366 1539.70608 0 0
PNPLA6-201 0 1 0 0 0 1
PLAUR-201 36 36 26 27 16 26
PAF1-201 155 160 137 320 214 395
STXBP2-201 1257 1291 1194 2157 1511 3077
ZNF432-201 10 16 17 1 3 1
ZNF180-201 1 2 1 0 0 0
MAN2B1-201 0 4 0 0 0 3.99731
DHDH-201 80 66 77 87 46 77
RUVBL2-201 4 0 1 1 3 5
ECH1-201 13.30392 18.46838 14 8772.09697 3044.12919 5324.77085
HNRNPL-201 66.52842 136.74964 121 37.45977 34.19011 106.86527
SARS2-201 79 74 53 273 149 389
CLASRP-201 7 6 10 9 7 17
LIN7B-201 39 54 31 31 27 33
PPP1R37-201 1 0 1 1 0 2
FCGRT-201 40.0756 47.3845 44 65.6242 49.99999 80.95094
PEX11G-201 78 134 88 27 34 51
RNASEH2A-201 2356 2251 1863 2163 1921 2338
SF3A2-201 224 353 330 274 268 396
DKKL1-201 9 6 11 0 0 0
TRMT1-201 12 16 10 0 0 1
YJU2B-201 34 28 30 37 24 42
TLE5-201 128 113 108 145 79 153
SGTA-201 457.67286 571.64203 500.74253 326.77751 217.66618 450.44956
SNAPC2-201 89 149 82 166 140 223
C19orf53-201 62.79983 60.93117 66.65545 53.93136 58 56.86839
C19orf44-201 4 2 0.08348 1.34434 0 10
CYP4F2-202 0 1 0 0 0 0
EPHX3-201 46 35 36 0 0 0
ZNF419-201 0 0 2 11 4 16
POP4-201 11 3 5 7 7 11
PDCD5-201 0 0 0 0.12192 0.07605 0
FBL-201 405 589 466 1390 1718 1664
EBI3-201 56.92217 29 42 93.8223 49 134.85266
TBCB-201 752 829 769 1296 1044 1372
FSD1-201 0 0 0 2 3 2
POLR2I-201 4480.59358 3754.51597 3900.88626 11611.26267 9522.73584 8116.61247
APLP1-201 3 2 1 1 0 0
CCDC9-201 5 16 4 17 13 16
DMAC2-201 66 78 61 181 112 262
PLIN3-201 3152 3326 2754 1699 1255 2052
CD79A-201 294 223 199 63 38 57
RPS19-201 44 63 56 308 197 199
CEACAM5-201 0 0 0 102 23 174
CDC37-201 3466 3830 3223 2691 1876 3280
RABAC1-201 1944.3092 1665.50322 1698.79812 2824.99997 2145.70054 2897.99999
RAB3D-201 21 38 15 26 19 29
DBP-201 13 11 5 11 6 44
EPOR-201 35 53 31 17 14 25
FGF21-201 2 0 6 0 0 1
WDR83OS-201 228 167 164 133 102 117
GCDH-201 375 410 318 186 135 199
DNASE2-201 1683 1677 1500 479 239 582
LENG1-201 797 1009 925 476 372 443
RPL18A-201 54625 50306 48505 209917 140042 166208
ARRDC2-201 1 3 1 3 1 2
RAB3A-201 43 41 38 193 104 269
PSENEN-201 112 101 158 128 75 107
TMEM147-201 1104.7448 1069.54974 2119.99996 1665 1192.5 1332.5
USF2-201 16 18 9 7 23 28
ERF-201 3 9 2 2 3 12
GSK3A-201 7 0 3 2 2 4
CADM4-201 4 11 7 5 1 9
ABCF2-H2BK1-201 36 45 34 9 7 9
UBE2D4-201 104 146 105 91 61 77
CPA4-201 117 95 77 0 2 3
TFPI2-201 1222 1082 1095 512 194 429
