"","gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"8950","ARL5B",121.157119115993,-0.0624738512675853,0.214136703069067,0.764290925734789,0.811019195159308
"8951","SMCO4",205.20345611585,0.825470190712045,0.202070829919067,2.99378366464026e-05,8.30515787786494e-05
"8952","CEP295",196.709780208363,-0.162889854370239,0.233915670436291,0.473132417524831,0.546373187011308
"8953","TAF1D",4213.61195288445,0.058037218900527,0.136991869544564,0.666862632094371,0.727051236343006
"8954","ABTB2",85.5045013827171,0.519075263724297,0.269006902844909,0.0450582124713871,0.0695796645299697
"8955","R3HCC1L",128.636216496168,-0.988041684449664,0.227405933193573,7.90993802011915e-06,2.3913794442526e-05
"8956","AMOTL1",138.438197733522,-0.216716430754935,0.258119943186579,0.384194020644125,0.457309481665489
"8957","HTRA1",161.182096952796,-6.4165209436597,0.519493809588422,5.89986739033082e-35,2.04587804363998e-33
"8958","CEP57",1039.88006591459,0.176974194698149,0.135686458956233,0.188649322458749,0.247617217407735
"8959","TCP11L2",89.7901711534798,0.544434994473469,0.311869754417008,0.0662034870250345,0.0980735028938299
"8960","SPRED1",114.263072474607,-0.368945847700396,0.270760863700412,0.156519885425169,0.210253630226527
"8961","GPR176",106.618680110063,-1.69291498895356,0.262925021934024,3.39319546832598e-11,2.06186524634161e-10
"8962","ADAMTS15",26.6192544027185,-1.90200742763618,0.475542276473083,1.41361404625952e-05,4.13302590286543e-05
"8963","GPT2",665.786122376262,1.55509462733564,0.233911150020965,9.47021392156762e-12,6.0921628527895e-11
"8964","AMN",46.3979895088006,2.88185723614971,0.388226878740822,1.65284504161713e-14,1.41846915749101e-13
"8965","RAB8B",115.843739301531,-1.55093986356489,0.246204549300699,9.4352850436428e-11,5.44345501327387e-10
"8966","IKBIP",686.667024673497,-1.72399749257643,0.22954798151094,1.61188398266438e-14,1.38574011948112e-13
"8967","RPUSD2",262.148493707379,0.839793340368302,0.208004046949604,3.58661599124999e-05,9.82066295483586e-05
"8968","HIF1AN",801.688990044982,0.0172475018675442,0.155058384741093,0.908326751739793,0.928721043779793
"8969","NDUFB8",12115.8840454969,0.140623999096102,0.149297627647879,0.341302083865858,0.414090127961624
"8970","ZFYVE19",670.398199091911,0.313277865217297,0.169923282376623,0.061546612918509,0.091899610294137
"8971","PPP1R14D",798.010268680922,7.65074762700341,0.336583591117204,1.17548505645818e-114,4.19477185510994e-112
"8972","SPINT1",2490.0043399591,1.53073222769221,0.156759426924723,5.39375097440064e-23,9.12613365297943e-22
"8973","DEPDC4",59.6423087699196,-0.25590126972456,0.288352938153207,0.353541551636443,0.426306437145014
"8974","BRD7",635.930296668893,0.227473524787673,0.164572785246841,0.161838915765266,0.216642504414464
"8975","CKB",7522.80481526706,1.53121775831467,0.192234217791301,5.62086585248355e-16,5.54375548174345e-15
"8976","TRMT61A",565.471574237961,0.510671474346413,0.195489395569836,0.00772265779197941,0.0140020881739658
"8977","BTRC",167.362697584771,-0.99527485526329,0.217201383286309,2.6128810714949e-06,8.45696187173984e-06
"8978","POLL",623.856816752729,1.29354457215879,0.172465042001116,2.69780201687306e-14,2.26959966503075e-13
"8979","BAG5",423.675134845898,-1.10416781157987,0.171729412953085,7.2888571274635e-11,4.26276516211937e-10
"8980","DPCD",2551.67302398119,0.290358845637764,0.144718385907423,0.0427952276088466,0.0664459884099021
"8981","LARP6",772.865371108258,0.19617505587559,0.144527606219931,0.170857209701174,0.227103782663209
"8982","API5",527.543125418911,-1.13052509555605,0.218908192057297,1.1934841804885e-07,4.63851762583124e-07
"8983","ASPG",6.51324550124015,-6.00331171477505,2.60941353692916,2.58710358969009e-05,7.25076141008817e-05
"8984","ZNF319",136.057414937454,-0.125684650535463,0.206547371657322,0.533434618132407,0.605606273142338
"8985","HPS6",155.533595697163,0.836571369920423,0.263550508120804,0.000988035631693667,0.0021240060616924
"8986","SENP8",62.4109501830303,-0.316870554895638,0.309574425620184,0.281896711545903,0.351734695328127
"8987","NOLC1",1503.49076220103,-0.236196138234308,0.129898781571806,0.0664918507296186,0.0984090708345203
"8988","ALKBH3",505.786217876001,-1.37155633356485,0.17871262612671,6.58605024144309e-15,5.85436630836972e-14
"8989","COPS2",644.164575988923,-0.366567640503548,0.158600190522509,0.0191296352766768,0.0320794046117
"8990","GABRB3",173.058266953458,-0.37637200765788,0.199696422372915,0.0541916558066639,0.0820061394385037
"8991","SGPL1",614.657407245212,-1.23282217379685,0.15990685873774,5.68294684246937e-15,5.08151242264903e-14
"8992","FRS2",65.0761491436512,-0.284142560065581,0.274247974075859,0.280901502010901,0.350738200901327
"8993","CCT2",3918.60103735583,0.555263408833502,0.142408752383049,8.19871335601052e-05,0.000211843268876275
"8994","PCBD1",6002.82285333208,0.844315495000344,0.164854379262286,2.05309351685552e-07,7.73436976109853e-07
"8995","ARIH1",523.641656586517,-0.288889534466183,0.244367004596936,0.222153827533305,0.285500246582719
"8996","DNAAF8",25.3818208264839,0.109304901316475,0.403257818644654,0.769676283601281,0.815770408156515
"8997","CLMP",17.9091077193595,-2.47222177782392,0.720279242633701,9.36790598855566e-05,0.0002393126263665
"8998","COX11",762.524992535123,-0.620902364973163,0.215478602747978,0.00311918363676904,0.00611224213646825
"8999","ZNF202",51.0907441768669,-0.00790763549831679,0.331226826029917,0.978163576785585,0.983830289608988
"9000","FAM227B",142.122782799942,-0.497814846106171,0.211892487731849,0.0161046200037158,0.0274236835687082
"9001","STXBP4",104.168222853113,-1.27592597974119,0.239212394466019,4.1008546166292e-08,1.69554399748433e-07
"9002","CUL5",342.121678262756,-0.571811701272875,0.169119564101163,0.000595819714960059,0.00132993899073366
"9003","WBP1L",278.103702214419,-0.136853896552307,0.199315562042054,0.483021314025741,0.556414316382847
"9004","BORCS7",362.788087636827,0.0116253052898012,0.188326831766945,0.951443172739207,0.964066863776583
"9005","C2",64.8245347195976,0.404094294693196,0.275716777546602,0.127629352865904,0.176035229002045
"9006","PLEKHF1",220.249071060362,0.0702636046610854,0.249506189898458,0.772941296045441,0.818700421882561
"9007","TMEM100",14.6990532669436,-2.13703121083022,0.657948652185145,0.000225682602097079,0.00054035842453269
